;Valori;;;;;;;;;;
Etichette di riga;Media di 828,94;Media di 25,23;Media di 10;Min di 828,94;Min di 10;;;;;Dev Med;Dev Min
C101.txt;828,94;24,06333333;10;828,94;10;;827,3;;;0,20%;0,20%
C102.txt;828,94;28,317;10;828,94;10;;827,3;;;0,20%;0,20%
C103.txt;832,286;32,004;10;828,06;10;;826,3;;;0,72%;0,21%
C104.txt;824,78;34,403;10;824,78;10;;822,9;;;0,23%;0,23%
C105.txt;828,94;26,057;10;828,94;10;;827,3;;;0,20%;0,20%
C106.txt;828,94;27,211;10;828,94;10;;827,3;;;0,20%;0,20%
C107.txt;828,94;27,08;10;828,94;10;;827,3;;;0,20%;0,20%
C108.txt;828,94;29,847;10;828,94;10;;827,3;;;0,20%;0,20%
C109.txt;828,94;31,872;10;828,94;10;;827,3;;;0,20%;0,20%
C201.txt;591,56;16,835;3;591,56;3;;589,1;;;0,42%;0,42%
C202.txt;591,56;22,815;3;591,56;3;;589,1;;;0,42%;0,42%
C203.txt;592,074;27,447;3;591,17;3;;588,7;;;0,57%;0,42%
C204.txt;610,907;30,592;3;590,6;3;;588,1;;;3,88%;0,43%
C205.txt;588,88;19,128;3;588,88;3;;586,4;;;0,42%;0,42%
C206.txt;588,49;20,883;3;588,49;3;;586;;;0,43%;0,43%
C207.txt;592,065;22,17;3,1;588,29;3;;585,8;;;1,07%;0,43%
C208.txt;588,32;21,936;3;588,32;3;;585,8;;;0,43%;0,43%
rC101.txt;1657,801;33,372;16,4;1643,87;16;;1619,8;;;2,35%;1,49%
rC102.txt;1494,382;34,894;14,4;1484,45;14;;1457,4;;;2,54%;1,86%
rC103.txt;1319,721;33,165;12,2;1291,7;12;;1258;;;4,91%;2,68%
rC104.txt;1199,323;31,833;10,9;1171,4;10;;1132,3;;;5,92%;3,45%
rC105.txt;1556,39;36,147;15,7;1535,08;15;;1513,7;;;2,82%;1,41%
rC106.txt;1404,809;33,009;13,4;1386,13;13;;1372,7;;;2,34%;0,98%
rC107.txt;1264,07;32,137;12,4;1246,51;12;;1207,8;;;4,66%;3,21%
rC108.txt;1160,966;31,962;11;1142,38;11;;1114,2;;;4,20%;2,53%
rC201.txt;1288,517;26,11;8,2;1276,97;7;;1261,8;;;2,12%;1,20%
rC202.txt;1111,56;29,701;7,4;1102,06;6;;1092,3;;;1,76%;0,89%
rC203.txt;960,289;28,959;4,4;945,06;4;;923,7;;;3,96%;2,31%
rC204.txt;810,167;29,165;3,1;795,48;3;;783,5;;;3,40%;1,53%
rC205.txt;1213,01;27,07;6,6;1167,25;6;;1154;;;5,11%;1,15%
rC206.txt;1100,935;26,39;5,7;1082,67;5;;1051,1;;;4,74%;3,00%
rC207.txt;1023,292;27,621;4,9;993,07;4;;962,9;;;6,27%;3,13%
rC208.txt;819,526;30,171;4;795,98;4;;776,1;;;5,60%;2,56%
Totale complessivo;957,6099088;28,32705167;8,018237082;588,29;3;;;;;;
