;Valori;;;;;;;;;;;
Etichette di riga;Media di 828,94;Media di 22,99;Media di 10;Min di 828,94;Min di 10;;;;;;;
C101.txt;836,6;10,05222222;10,11111111;828,94;10;;827,3;;1,124%;;;
C102.txt;828,94;12,698;10;828,94;10;;827,3;;0,198%;;;
C103.txt;869,83;15,386;10;828,06;10;;826,3;;5,268%;;;
C104.txt;910,656;12,398;10;849,2;10;;822,9;;10,664%;;;
C105.txt;852,829;12,116;10,1;828,94;10;;827,3;;3,086%;;;
C106.txt;828,94;12,762;10;828,94;10;;827,3;;0,198%;;;
C107.txt;832,764;10,918;10;828,94;10;;827,3;;0,660%;;;
C108.txt;849,325;11,748;10;828,94;10;;827,3;;2,662%;;;
C109.txt;867;12,183;10;828,94;10;;827,3;;4,799%;;;
C201.txt;591,56;12,419;3;591,56;3;;589,1;;0,418%;;;
C202.txt;591,56;10,966;3;591,56;3;;589,1;;0,418%;;;
C203.txt;591,17;14,864;3;591,17;3;;588,7;;0,420%;;;
C204.txt;593,204;14,383;3;590,6;3;;588,1;;0,868%;;;
C205.txt;588,88;9,776;3;588,88;3;;586,4;;0,423%;;;
C206.txt;588,49;10,155;3;588,49;3;;586;;0,425%;;;
C207.txt;588,29;12,366;3;588,29;3;;585,8;;0,425%;;;
C208.txt;588,32;10,591;3;588,32;3;;585,8;;0,430%;;;
rC101.txt;1709,801;15,246;15,7;1674,33;15;;1619,8;;5,556%;;;
rC102.txt;1545,238;15,889;14,4;1516,92;14;;1457,4;;6,027%;;;
rC103.txt;1412,231;14,913;11,9;1351,65;11;;1258;;12,260%;;;
rC104.txt;1223,426;14,708;10,9;1179,03;10;;1132,3;;8,048%;;;
rC105.txt;1615,378;15,933;15,2;1560,49;15;;1513,7;;6,717%;;;
rC106.txt;1472,727;15,383;13,8;1431,51;13;;1372,7;;7,287%;;;
rC107.txt;1349,686;14,516;12;1296,88;12;;1207,8;;11,747%;;;
rC108.txt;1268,187;14,422;11;1196,34;11;;1114,2;;13,820%;;;
rC201.txt;1312,057;12,101;7,4;1280,4;7;;1261,8;;3,983%;;;
rC202.txt;1117,686;13,605;6,4;1106,15;5;;1092,3;;2,324%;;;
rC203.txt;973,205;13,68;4,3;938,28;4;;923,7;;5,359%;;;
rC204.txt;805,495;14,65;3,6;789,07;3;;783,5;;2,807%;;;
rC205.txt;1207,777;13,281;6,7;1159,45;6;;1154;;4,660%;;;
rC206.txt;1103,596;12,686;5;1067,81;4;;1051,1;;4,994%;;;
rC207.txt;1033,106;15,662;4,7;995,06;4;;962,9;;7,291%;;;
rC208.txt;879,221;15,27;3,4;808,86;3;;776,1;;13,287%;;;
Totale complessivo;983,0855623;13,27419453;7,890577508;588,29;3;;;;;;;
