Etichette di riga;Media di 828,94;Media di 12,19;Media di 10;Min di 828,94_2;Min di 10;;
C101.txt;828,94;11,55555556;10;828,94;10;827,3;0,19823522%
C102.txt;828,94;13,746;10;828,94;10;827,3;0,19823522%
C103.txt;851,398;15,192;10;828,06;10;826,3;0,21299770%
C104.txt;869,761;15,471;10;824,78;10;822,9;0,22846032%
C105.txt;836,255;12,283;10,1;828,94;10;827,3;0,19823522%
C106.txt;862,301;13,199;10,1;828,94;10;827,3;0,19823522%
C107.txt;828,94;12,595;10;828,94;10;827,3;0,19823522%
C108.txt;837,075;13,42;10;828,94;10;827,3;0,19823522%
C109.txt;828,94;13,975;10;828,94;10;827,3;0,19823522%
C201.txt;591,56;9,155;3;591,56;3;589,1;0,41758615%
C202.txt;591,56;12,509;3;591,56;3;589,1;0,41758615%
C203.txt;600,21;14,859;3;600,21;3;588,7;1,95515543%
C204.txt;599,42;16,731;3;599,42;3;588,1;1,92484271%
C205.txt;588,88;10,348;3;588,88;3;586,4;0,42291951%
C206.txt;588,49;11,396;3;588,49;3;586;0,42491468%
C207.txt;588,29;12,099;3;588,29;3;585,8;0,42505975%
C208.txt;588,32;12,072;3;588,32;3;585,8;0,43018095%
rC101.txt;1672,849;19,009;16;1647,36;15;1619,8;1,70144462%
rC102.txt;1504,024;18,945;14,4;1477,16;14;1457,4;1,35583917%
rC103.txt;1342,233;18,18;11,6;1299,51;11;1258;3,29968203%
rC104.txt;1206,289;16,279;10,7;1149,97;10;1132,3;1,56054049%
rC105.txt;1576,934;19,929;15,7;1552,87;15;1513,7;2,58769902%
rC106.txt;1407,085;17,483;13,3;1387,82;13;1372,7;1,10147884%
rC107.txt;1297,263;17,162;12,2;1234,4;12;1207,8;2,20235138%
rC108.txt;1169,138;16,204;11;1135,19;11;1114,2;1,88386286%
rC201.txt;1300,341;14,473;7,8;1288,72;7;1261,8;2,13346014%
rC202.txt;1118,056;17,353;7,2;1103,41;6;1092,3;1,01711984%
rC203.txt;960,382;16,507;4,1;942,07;4;923,7;1,98874093%
rC204.txt;815,243;16,832;3,4;792,43;3;783,5;1,13975750%
rC205.txt;1213,209;15,998;7;1173,36;6;1154;1,67764298%
rC206.txt;1103,156;14,153;4,8;1081,17;4;1051,1;2,86081248%
rC207.txt;1016,894;15,692;4,8;999,38;4;962,9;3,78855541%
rC208.txt;872,843;15,943;3,4;807,82;3;776,1;4,08710218%
Totale complessivo;966,6360182;14,88121581;7,920972644;588,29;3;;
